dataset_id,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,svm_roc_auc,roc_auc_catboost
datasetId,0.5217569786535303,0.48850574712643674,0.4844006568144499,[-0.00814612  0.0902793 ],0.5911330049261084,0.590311986863711
datasetId,0.507,0.7302500000000001,0.662,[-0.07688341  0.14045331],0.7457500000000001,0.7482500000000001
datasetId,0.5989795918367347,0.4714285714285714,0.5714285714285714,[ 0.10801809 -0.06226446],0.5,0.5
datasetId,0.6868055555555556,0.5932291666666667,0.6788194444444443,[0.00933613 0.03293027],0.9190972222222222,0.9083333333333333
datasetId,0.5791025221094006,0.508679986898133,0.4633147723550605,[-0.02064928  0.06066452],0.7759580740255486,0.6061251228300033
datasetId,0.6660919540229885,0.4735632183908046,0.3796934865900383,[-0.09132119  0.1750313 ],0.6720306513409962,0.6383141762452107
datasetId,0.7514705882352941,0.6197478991596638,0.5967436974789916,[-0.00483351  0.13460778],0.9097689075630252,0.909873949579832
datasetId,0.7666666666666667,0.9893567251461988,0.9873684210526316,[-0.04035084  0.08754324],0.9960233918128655,0.9953216374269005
datasetId,0.4754843338914136,0.5005979430758192,0.5161444630471179,[-0.05045902  0.0948064 ],0.6120545324085147,0.6383640277445587
datasetId,0.44315886134067956,0.5069788797061524,0.5386593204775023,[-0.09843837  0.262655  ],0.6642791551882461,0.6497704315886134
datasetId,0.7674029850746269,0.7642985074626866,0.8580298507462686,[0.01807297 0.0110839 ],0.9983283582089553,1.0
datasetId,0.5228993869455464,0.5830027647553793,0.5600432744320231,[0.11584551 0.01729427],0.7937252073566534,0.8260608246183435
