kernel,num_clf_dim,epsilon,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,frocc_positive_roc_auc_optimized,frocc_negative_roc_auc_optimized,combined_roc_auc_optimized,combined_weights_optimized,svm_roc_auc,roc_auc_catboost
linear,614,0.00805923891449769,0.45935960591133,0.5094417077175698,0.5088259441707718,[5.00488279e-01 8.47948276e+02],0.589696223316913,0.37848932676518887,0.5658866995073891,[686.52955673   0.77762113],0.5915435139573071,0.590311986863711
linear,992,0.6178640281180889,0.41125,0.62775,0.62075,[4.99511883e-01 8.36084000e+02],0.5255,0.47950000000000004,0.51025,[229.40869874   0.46778765],0.75675,0.7482500000000001
linear,939,0.0017779870751733142,0.48622448979591837,0.6311224489795918,0.6214285714285714,[5.84422523e-01 1.37140612e+03],0.636734693877551,0.32551020408163267,0.5938775510204082,[1906.39387758    4.33450186],0.5,0.5
linear,992,0.6178640281180889,0.5192708333333333,0.5307291666666666,0.5336805555555556,[0.49920358 0.49954986],0.628125,0.39444444444444443,0.6241319444444445,[1.87783333e+03 9.89818430e-01],0.9190972222222222,0.9083333333333333
linear,147,0.6512375844759042,0.5206354405502784,0.45709138552243694,0.5219456272518834,[215.16098925   0.50006452],0.6709793645594497,0.3833933835571569,0.6709793645594497,[2.17933464e+03 3.33066907e-16],0.7759580740255486,0.6061251228300033
linear,968,0.17891013392631433,0.4241379310344828,0.5308429118773945,0.5174329501915709,[  0.8105902  515.24636027],0.6243295019157088,0.3172413793103448,0.6243295019157088,[ 1.10381069e+03 -4.71627945e-18],0.6720306513409962,0.6383141762452107
linear,1000,1.0,0.5484243697478992,0.5298319327731092,0.5566176470588236,[0.49894142 0.49917127],0.6586134453781513,0.33025210084033607,0.6148109243697479,[2430.5638656    9.8769376],0.9098739495798319,0.909873949579832
linear,759,1.0,0.4362573099415205,0.8784795321637426,0.8824561403508773,[0.3 0.7],0.7100584795321638,0.7442105263157894,0.8127485380116959,[299.43614035 192.12573099],0.9960233918128655,0.9953216374269005
linear,1000,0.7473481854796497,0.5031093039942598,0.5679263334130591,0.577493422626166,[  0.53380644 502.09100698],0.5968667782827075,0.4437933508729969,0.5955513035159052,[368.54045613   0.46562832],0.6120545324085147,0.6383640277445587
linear,781,0.5924021724309633,0.5614325068870523,0.4727272727272727,0.556198347107438,[229.1839303    0.51507792],0.711386593204775,0.3436179981634527,0.711386593204775,[1.78692134e+03 2.22044605e-16],0.6643709825528006,0.6497704315886134
linear,833,0.9766478102615332,0.5237611940298508,0.6197014925373133,0.6243582089552239,[0.3 0.7],0.6131343283582089,0.44143283582089554,0.593134328358209,[1.74551827e+03 1.47023848e+00],0.9983283582089553,1.0
linear,845,0.03860621983634465,0.5296910686380575,0.4849741555475418,0.5256641423247986,[209.26355341   0.49979247],0.6152181752614497,0.3755860079336459,0.5555355210962857,[2.35598311e+03 2.29715420e+00],0.7936651039788436,0.8260608246183435
